card_id,card,base_meaning,negative_meaning,major_arcana,minor_arcana,court_card
26,Four of Swords,Finally ideas stabilize! Trust in your intellectual maturity. The need to keep thoughts to oneself may be present. A suppression of your ideas may arise and there may be a lack of enthusiasm now. You are being practical but you may be shutting out your heart.,"Negatively this warns of being too set in ones thinking, the mind becoming a prisoner of its concepts, all bark and no bite and in worst cases tyranny.",f,t,f
27,Five of Swords,"A new point of view allows for the understanding of others as well. It is time to resume study, perfect your knowledge and become a specialist. New information will help transform your daily life.","Beware being a hypocrite, false understanding of the world, and dangerous polarizing.",f,t,f
28,Six of Swords,The first step into pure joy is taken. We love where our mind is and everything feels like it is blossoming in finesse. Poetry finds its home here. Now is when we meet someone whom offers enriching dialogue.,"Negatively be warned of self confidence, neglecting to act on the idea of beauty, and narcissism. Attain beauty from within, meditate.",f,t,f
29,Seven of Swords,The growth of our mental state nears its perfection and is receptive to everything. This is a good time to move beyond the self and lend your mind to the greater good. We are mature enough to move beyond the self successfully.,"Negatively this warns of gossip, using knowledge for cynical purposes and destructive ideas. Lessons in receptivity, remove distractions",f,t,f
30,Eight of Swords,"As with all eights we reach a stable perfection and for swords this means emptiness. Great concentration comes easily, like a super power. Meditation allows for the conflict of opposites to merge in celebration of the present. All revelations are possible and answers to problems will come easily. Channel the buddhist void","Intellectual blocks, coma, dementia are at play. A fear of emptiness drives you.",f,t,f
31,Nine of Swords,"This sword evokes illumination but there is more than meets the eye. Do not let false understanding trick you into thinking you know more than others. it is time to break old mental habits and let go. Listen to others, there are more ideas other than your own.","Negatively this speaks to fear of losing ones individuality, depression or even a physical wound to the brain.",f,t,f
32,Ten of Swords,"The mind has achieved harmony with the heart, a full understanding is attained. Beware emotional blocks or creating your own negative situations - your mind is very powerful now.",Fears of being hurt cause intellectual blocks. Disputes and ingratitude are themes,f,t,f
33,Page of Swords,This Page possesses a good intellectual foundation but lacks self confidence. Perhaps he hasnt finished his education and must move forward with caution.,"Negatively he warns of lies, confusion, verbal fights and bad logic.",f,t,t
34,Queen of Swords,"Capable of powerful intellect, she says what she means, is open to new ideas and loyal to her logic.","Negatively she speaks to intellect pushed to the extreme, neglecting of the body and frigidity.",f,t,t
35,King of Swords,"He skillfully handles words and new ideas, he is the King of the court. He represents a just ruler, a professor - someone with great intellectual serenity. He puts his thoughts into appropriate actions.","Negatively he warns of slander, verbal aggression, legal errors, corrupt politics, or a cheater.",f,t,t
36,Knight of Swords,"Equipped with staggering thought and logic the Knight leaves behind the world of thinking and seeks the way of the lovers, almost like a prophet. After achieving mental perfection he seeks only the paths that have heart now. He brings good news, solutions, and the end of mental conflicts.","If at all, too aggressive in ones mental capacities.",f,t,t
37,Ace of Wands,A spark of potential growth awaits you! If you need to fight you will be able.,"Negatively, this indicates creative blocks, physical violence, abuse of power.",f,t,f
38,Two of Wands,Passive sexual energy is contained but quite strong - the need to create is severe.,"Negatively, this refers to a creativity that is eternally un-realized, crippling self-doubt. Intellect is in the way of creating.",f,t,f
39,Three of Wands,Burst into the world with a springtime zest! Strong impulses and enthusiasm drives action., Negatively this speaks to an aimless scattered mind and the potential to abuse power.,f,t,f
40,Four of Wands,Desire becomes reality. Here a person has assumed their power and lives off the success of their creations. The danger is the sexual and creative stability which risks boredom and routine,Beware dominating attitudes or deep self doubt. Avoid weak people who hold authority.,f,t,f
41,Five of Wands,"This card drives temptation to push for more, and go beyond what is currently known. Indulging in passions can be healing.",Be wary of creativity that requires drugs or alcohol to manifest.,f,t,f
42,Six of Wands,"Work is a joy. We have surrendered to temptation and moved into ecstasy. Sexuality and creativity are fully experienced. The manifestation of Ki! Ready to move outward, to go from solo to paired.","Negatively, this card risks narcissism and a repetition of the same. You may be lacking in joy.",f,t,f
43,Seven of Wands,"This card asks for great openness and action in the pure selfless service to others. Action in creation, tangible engagement.","The negative impacts here are significant. This warns of true terror, pimping, torture, and destructive power.",f,t,f
44,Eight of Wands,"Scattered to focused, our full concentration makes power nonviolent. The individual radiates authority.",Negative reading is minimal but if anything it warns of perfectionism bordering on asphyxiation.,f,t,f
45,Nine of Wands,"Your energy will be confronted with the decision of life or death. Make no concessions, be yourself, be responsible but win or die.",Negatives refer to infertility and impotence.,f,t,f
46,Ten of Wands,"Creative energy has graduated, moving on to the next level, this project has reached its end.",Negatively a painful relinquishment of energy or the need to give up surfaces.,f,t,f
47,Page of Wands,"The hesitation between doing and not doing, this unsure energy needs to be channeled and directed.","Negatively, this warns of creative slumps and clumsiness.",f,t,t
48,Queen of Wands,The Queen of Wands represents the satisfaction of someone living independently on her own merits. A secure existence and belief in ones creation.,Negatively this warns of obsession with excess and power.,f,t,t
49,King of Wands,"He has mastered his energy; vital, creative and sexual. He represents creativity in every aspect of life.","Negatively, he represents a tyrant, strong sex drive without love, and self obsessive issues",f,t,t
50,Knight of Wands,This Knight embodies trust and straight forward communication. The Wands can be trusted again. After gaining control of his suit he is ready to move from the world of passions to the world of thought.,No negatives,f,t,t
51,Ace of Cups,"A gift of love given freely, the Ace of Cups is an overflowing chalice of love. This is a sign of great love which has not yet been employed and will color the rest of the reading.","Negatively this could signify jealousy, never sated neediness, suffering or a lack of affection.",f,t,f
52,Two of Cups,"Emotionally immature we may be transfixed in a state of amorous daydreams. We seek the first signs of love from others. We may feel imprisoned by love in this stage and wait for an ideal mate who resembles us. We prepare for love but with great hesitation and sentimentality. Combining of opposite forces, love is blind here when it needs more experience.","Negative aspects include, isolation, the inability to establish relationships, immaturity and fear of commitment.",f,t,f
53,Three of Cups,"Divine love and honeymoon feelings give way to first love. The freshness and inexperience and idealization of first love are all present here. The divine figure makes an appearance here making everything feel blessed. Should this fail, terrible disappointment awaits. In an intoxicated state we rediscover love at any age here.","Negatively we may be too fixated on love, destructive in our idealizations or committed to impossible love.",f,t,f
54,Four of Cups,"Love is established and stable - we build the foundations for family in the four of cups. With self confidence and trust love seems to be a practical pillar of our reality. It can, however, morph into a seeking of security which puts us in danger of entering a dominated and dominating relationship. The risk lies in expecting this divinely guided decision making.","Negatively this may speak to insecurity, materialistic love, smothering or lack of freedom.",f,t,f
55,Five of Cups,"Misunderstanding love here, we run the risk of engaging in a cult like euphoria which masks as love. we may discover faith and feel the need to put our loving efforts into that which is for the better of humanity.","This warns of blind trust, emotional imbalance, a lack of faith, or disappointment.",f,t,f
56,Six of Cups,"That soul mate we dreamed of in the two of cups becomes a reality. We engage in the noblest form of self love and recognize the divine within ourselves. This is a card of reflection, note the three stacked cups mirroring itself. A relationship built on esteem and fidelity thrives.","This warns of an overly pompous couple cutting themselves off from the world, withdrawal of the individual, potential narcissism, or self indulgence.",f,t,f
57,Seven of Cups,"We encounter a full manifestation of love and see this carried out in the world. We may be charitable without advertising it and feel connected to collective hive mind. We embrace the idea \'"Nothing for me that is not for others\'".","Negatively this speaks to being unhappy due to evils of the world, aggressiveness or the compulsive tendency to help others who have not requested it. This may also warn of someone who is deeply self-centered.",f,t,f
58,Eight of Cups,"As we reach a state of perfect love we find we love the past, present, future, the planet, ourselves, our neighbor, everything. There is no need to question love here - love is everything. Gracefully we come into a profound union with the divine. Become active towards earth and receptive towards the heavens.","Negatively we may revoke the acceptance of love, perpetually dissatisfied or encounter a strong love which seems to be giving but is really only taking.love, a full cup",f,t,f
59,Nine of Cups,For the first time in the suit of cups we see leaves wilting. As we enter the Autumn of the heart we must go through a period of grieving. In this mourning a new dimension of love will appear. In our emotional wisdom it is time to accept the end of a cycle and let go of what has already been lived. Release emotions which used to nourish.,"Negative aspects include emotional crisis, nostalgia, unwanted solitude, fear of lack and despair.",f,t,f
60,Ten of Cups,At the height of our emotional maturity we seal our cups and get ready to put our love to work. This card will become the ace of pentacles and signifies a concrete action is ready to be taken.,If negative at all this card warns of a refusal to evolve.,f,t,f
61,Page of Cups,"To love or not to love? The Page of Cups is tempted and also terrified at the discovery of love. He represents first love full of doubts and enthusiasms. Potentially referring to someone who has not fully embraced oneself, he signifies a general lack of trust in love.","Negatively he warns of trauma from childhood, the emotionally immature, ghosts of exes and excessive daydreaming.",f,t,t
62,Queen of Cups,"Determined to defend her feelings, the Queen of Cups is perfectly content focusing on her emotions. Her trust is earned and she reflects divine love.","Negatively she can embody possessiveness, insecure attachment (dismissive or anxious), and false charity.",f,t,t
63,King of Cups,"With his heart open wide the King represents emotional maturity, generous love and joy. He could be a counselor or patron.","Negatively he warns of veiled hatred, narcissism, alcoholism and emotional abuse.",f,t,t
64,Knight of Cups,"For the Knight, love has reached its final form - it is a concrete force. With a heart sincerely full he offers himself up and asks for forgiveness. He will be able to transform his love into tangible creations.",No negatives,f,t,t
65,Ace of Coins,"Material potential is unlimited. The body, resources, territory or the position we hold in the world is the focus of this card. Direct your focus to the concrete aspects of life.",Be wary of hyper pre-occupation with material excess.,f,t,f
66,Two of Coins,"Plans will further the spiritualization of matter, work will soon be made tangible. There are still details to be worked out while you conserve strength for the next steps.","Negatively this warns of paralysis, money problems, refusal to eat and a unrealistic view of the world.",f,t,f
67,Three of Coins,Investments produce their first returns or losses. There is a certain risk at play here.,Negatively beware of fertility issues and creating a monster.,f,t,f
68,Four of Coins,"The cycle of death and rebirth is constant. The body and the home similarly require constant upkeep. Do not allow things to stagnate. It is time to commit to action or lose progress, spend!","This wants of a stagnant econmic situation, prison, excess and weight issues.",f,t,f
69,Five of Coins,"We go from the comfort of the security in the Four of Pentacles to the desire for more in the Five. New possibilities of wealth are opening up, spend wisely and properly vet any investment right now.","Beware green-washing, bad doctors, a reversal of fortune, stock exchange crashes and greedy people.",f,t,f
70,Six of Coins,Spend your money on what brings you joy. Invest in what you love. Seek balance of conflicting values and harmony in all aspects of life.,"Beware superficial spending, money will not buy happiness right now. ",f,t,f
71,Seven of Coins,"Let the physical become spiritual and spiritual become physical. The realizing of your ideas can make you money, and help humanity. Gain material power based on awareness. Be sure your spirit and body work together.","Avoid destruction of the environment, drug companies and overvaluing the physical realm.",f,t,f
72,Eight of Coins,"Enjoy true wealth in all aspects of life. Your body balanced, family understanding and healthy home life speak to the potential paradise on Earth. Seek thorough understanding on the intersection of wealth and health in the spirit, mental and physical realms.",Move away from paralyzing beliefs around money and stop seeing poverty as inescapable.,f,t,f
73,Nine of Coins,"A material project has been completed and it is time for a new one. With material detachment it is time to start a new construction. Watch for the arrival of new material conditions, baby, new job, stroke of fortune.","Beware economic crisis, theft and eviction or being forced to move, birth of a new dimension",f,t,f
74,Ten of Coins,All has been attained in the material plane and the path to prosperity ends. It is time to turn your energy to your passions and creativity.,"Beware the clinging to a past life, denial of oneself and the feeling of wasting ones life.",f,t,f
75,Page of Coins,The Page looks upon his wish coin but is blocked by his buried coin. He holds the potential to channel The Magician if only he could solidify his place in the world.,He warns of remaining inactive too long and playing carelessly with resources and life.,f,t,t
76,Queen of Coins,"Clinging to her money, position, health - she could deploy immense energy to keep things as they are. Whatever her situation needs she will make it happen.",She runs the risk of not looking beyond herself and ignoring the bigger picture to obtain what she seeks in the immediate. A fear of risk keeps us trapped.,f,t,t
77,King of Coins,With no crown but a hat - this man knows how to make his money work for him while maintaining a spiritual connection to the Earth. His throne is outside in nature. A billionaire or a farmer he has mastered his material world.,"Negatively he warns of fraud dirty money, bad stocks or a dealer of toxic goods",f,t,t
78,Knight of Coins,This Knight marches beyond the superficial materials of existence and into creation. Horizons open to him and he is able to take his wealth and make something new. Literally speaking he refers to a move or a journey - a shift in the physical which connects to ones spiritual and emotional world.,No negatives,f,t,t
